border-style	google, excel, sheets, sheets
circle-4	four, zero, number, digit, quantity, amount, order, maths, sum, total
circle-5	five, zero, number, digit, quantity, amount, order, maths, sum, total
circle-6	six, zero, number, digit, quantity, amount, order, maths, sum, total
circle-7	seven, zero, number, digit, quantity, amount, order, maths, sum, total
circle-8	eight, zero, number, digit, quantity, amount, order, maths, sum, total
circle-9	nine, zero, number, digit, quantity, amount, order, maths, sum, total
circle-half-vertical	shape, split, slash
circle-half	shape, split, slash
circle-off	shape, split, slash, disabled
cloud-off	auto, backup, storage, memory, files, pictures, store
code-minus	remove, delete, insert, braces
code-plus	add, insert, braces
column-insert-left	database, table, cells, arrow
column-insert-right	database, table, cells, arrow
confetti	party, celebrate, streamers, paper, parade, wedding, celebration
container	element, html, block, store, inside
corner-down-left-double	arrow, previous, back, return, below, point
corner-down-right-double	arrow, next, below, forward, point
corner-left-down-double	arrow, point, below, bottom
corner-left-up-double	arrow, point, above, top
corner-right-down-double	arrow, point, below, bottom
corner-right-up-double	arrow, point, above, top
corner-up-left-double	arrow, point, side, previous, back, return
corner-up-right-double	arrow, next, above, forward, point
crown-off	king, queen, royal, throne, power
cursor-text	editor, indicate, position, input, mouse, type
database-export	data, backup, file, storage, system
database-import	data, file, storage, backup, system
database-off	data, file, storage, table, system
device-analytics	analyze, analyse, data, traffic, user
device-audio-tape	record, music, radio, cassette, recording, play
device-cctv	closed, circuit, television, video, surveillance, signal, monitor, record
device-computer-camera-off	video, meeting, record, recording, webcam
device-computer-camera	video, meeting, record, recording, webcam
dimensions	width, height, size, breadth, depth
divide	separate, element, multiple, apart, separator, parts
dna	genetics, biology, chain, genetic, code, virus, organism
drone-off	device, fly, aircraft, surveillance, control, autonomous, forbidden, banned, unlicensed
drone	device, fly, aircraft, surveillance, control, autonomous
ear-off	sound, deaf, hearing, impaired, handicapped, hard-of-hearing, mute
equal-not	maths, mathematics, equation, different, value
equal	maths, mathematics, equation, same, value
eyeglass-2	sight, defect, see, vision, frames, lenses, visually, impaired, myopia, far-sighted
eyeglass	sight, defect, see, vision, frames, lenses, visually, impaired, myopia, far-sighted
feather	bird, animal, nature
file-analytics	data, statistics, report, chart, document, paper
file-certificate	certificate, license, diploma, document, format, data, paper
file-export	arrow, data, paper, document, format
file-import	arrow, data, paper, document, format
file-report	stats, data, paper, document, chart, format
file-search	search, data, paper, document, format
file-symlink	text, format, extension, document, format
file-zip	forms, documents, stack, letter, archive, rar, zipped, extention, bundle, format
files-off	forms, documents, stack, letter
files	forms, documents, stack, letter
flame	fire, fireplace, light, burn, bonfire, smoke, barbecue
fold-down	arrow, move, toggle
fold-up	arrow, move, toggle
fold	arrow, move, merge
glass-off	drink, alcohol, not-allowed, sober, non-alcoholic, wine
golf	game, ball, play, hole, club-and-ball, stroke, luxury, pitch
gps	navigation, directions, global, positioning, system, satnav, radionavigation, system, travel, car
growth	seed, harvest, plant, tree, flower, grain, greenery, garden
hanger	clothes, wardrobe, hook, hang, wooden, plastic, wire, shop, store, clothing, fashion
heading	main, text, headline, style, styling, html
headphones-off	sound, silence, mute, earphones, electronics, wireless, listen
helicopter-landing	pad, helipad, land, takeoff, navy, travel, aircraft, platform, fly
